background,object_size_px,velocity_px_s,required_fps,rows,cols,adc_bits_used,power_W,power_mW,max_frame_rate_hz,feasible,frame_time_ms,readout_time_us,adc_time_us,io_time_us,dynamic_range_dB,total_noise_e,fps_clipped_warning
low_texture,25,10,4.0,480,640,8,0.13385912682276674,133.85912682276674,178.91,1,,,,,51.42,,0
low_texture,25,50,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
low_texture,25,100,40.0,480,640,8,0.14288465101538528,142.8846510153853,178.91,1,,,,,51.42,,0
low_texture,25,200,80.0,480,640,8,0.15291301122940584,152.91301122940584,178.91,1,,,,,51.42,,0
low_texture,25,500,200.0,480,640,8,0.18296991675500487,182.96991675500487,178.91,0,,,,,51.42,,1
low_texture,50,10,2.0,480,640,8,0.13335770881206574,133.35770881206574,178.91,1,,,,,51.42,,0
low_texture,50,50,10.0,480,640,8,0.13536338085486985,135.36338085486986,178.91,1,,,,,51.42,,0
low_texture,50,100,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
low_texture,50,200,40.0,480,640,8,0.14288465101538528,142.8846510153853,178.91,1,,,,,51.42,,0
low_texture,50,500,100.0,480,640,8,0.15792719133641608,157.9271913364161,178.91,1,,,,,51.42,,0
low_texture,100,10,1.0,480,640,8,0.13334472832682667,133.34472832682667,178.91,1,,,,,51.42,,0
low_texture,100,50,5.0,480,640,8,0.13410983582811728,134.10983582811727,178.91,1,,,,,51.42,,0
low_texture,100,100,10.0,480,640,8,0.13536338085486985,135.36338085486986,178.91,1,,,,,51.42,,0
low_texture,100,200,20.0,480,640,8,0.13787047090837498,137.87047090837498,178.91,1,,,,,51.42,,0
low_texture,100,500,50.0,480,640,8,0.1453917410688904,145.3917410688904,178.91,1,,,,,51.42,,0
high_texture,25,10,4.0,480,640,9,0.13399649484804155,133.99649484804155,89.49,1,,,,,57.44,,0
high_texture,25,50,20.0,480,640,9,0.13855731103474886,138.55731103474886,89.49,1,,,,,57.44,,0
high_texture,25,100,40.0,480,640,9,0.14425833126813303,144.25833126813302,89.49,1,,,,,57.44,,0
high_texture,25,200,80.0,480,640,9,0.15566037173490138,155.6603717349014,89.49,1,,,,,57.44,,0
high_texture,25,500,200.0,480,640,9,0.1897188265574263,189.7188265574263,89.49,0,,,,,57.44,,1
high_texture,50,10,2.0,480,640,9,0.13342639282470312,133.42639282470313,89.49,1,,,,,57.44,,0
high_texture,50,50,10.0,480,640,9,0.13570680091805679,135.70680091805679,89.49,1,,,,,57.44,,0
high_texture,50,100,20.0,480,640,9,0.13855731103474886,138.55731103474886,89.49,1,,,,,57.44,,0
high_texture,50,200,40.0,480,640,9,0.14425833126813303,144.25833126813302,89.49,1,,,,,57.44,,0
high_texture,50,500,100.0,480,640,9,0.16134734530838188,161.34734530838188,89.49,0,,,,,57.44,,1
high_texture,100,10,1.0,480,640,9,0.1332595788718279,133.2595788718279,89.49,1,,,,,57.44,,0
high_texture,100,50,5.0,480,640,9,0.13428154585971075,134.28154585971075,89.49,1,,,,,57.44,,0
high_texture,100,100,10.0,480,640,9,0.13570680091805679,135.70680091805679,89.49,1,,,,,57.44,,0
high_texture,100,200,20.0,480,640,9,0.13855731103474886,138.55731103474886,89.49,1,,,,,57.44,,0
high_texture,100,500,50.0,480,640,9,0.14710884138482513,147.10884138482513,89.49,1,,,,,57.44,,0
