object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_analytical,fired_pixels_mean,fired_pixels_min,fired_pixels_max,event_rate_pixelwise,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW,dvs_can_track,n_total_pixels,n_active_pixels,n_silent_pixels,active_fraction
25,10,low_texture,low_threshold,0.1,2789.6,57.4,50,66,574.0,574.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,10,low_texture,med_threshold,0.2,2789.6,50.0,49,50,500.0,500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,10,low_texture,high_threshold,0.4,2789.6,50.0,49,50,500.0,500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,50,low_texture,low_threshold,0.1,13948.0,57.4,50,66,2870.0,2870.0,0.1678,53.99,0.0,0.0,0.0,53.991,1,307200,176,307024,0.00057
25,50,low_texture,med_threshold,0.2,13948.0,50.0,49,50,2500.0,2500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,176,307024,0.00057
25,50,low_texture,high_threshold,0.4,13948.0,50.0,49,50,2500.0,2500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,176,307024,0.00057
25,100,low_texture,low_threshold,0.1,27896.0,57.4,50,66,5740.0,5740.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,100,low_texture,med_threshold,0.2,27896.0,50.0,49,50,5000.0,5000.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,100,low_texture,high_threshold,0.4,27896.0,50.0,49,50,5000.0,5000.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,200,low_texture,low_threshold,0.1,55792.0,57.4,50,66,11480.0,11480.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,200,low_texture,med_threshold,0.2,55792.0,50.0,49,50,10000.0,10000.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,200,low_texture,high_threshold,0.4,55792.0,50.0,49,50,10000.0,10000.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,500,low_texture,low_threshold,0.1,139480.0,57.4,50,66,28700.0,28700.0,0.1678,53.99,0.005,0.0,0.0,53.995,1,307200,868,306332,0.00283
25,500,low_texture,med_threshold,0.2,139480.0,50.0,49,50,25000.0,25000.0,0.1678,53.99,0.004,0.0,0.0,53.994,1,307200,868,306332,0.00283
25,500,low_texture,high_threshold,0.4,139480.0,50.0,49,50,25000.0,25000.0,0.1678,53.99,0.004,0.0,0.0,53.994,1,307200,868,306332,0.00283
