time_s,velocity_px_s,background,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,power_total_mW,saturated
0,10,low_texture,3889.6,3889.6,3889.6,19.14,0.019,19.159,0
0,10,high_texture,15716.8,15716.8,15716.8,19.14,0.078,19.218,0
1,50,low_texture,19448.0,19448.0,19448.0,19.14,0.096,19.236,0
1,50,high_texture,78584.0,78584.0,78584.0,19.14,0.389,19.529,0
2,100,low_texture,38896.0,38896.0,38896.0,19.14,0.193,19.333,0
2,100,high_texture,157168.0,157168.0,157168.0,19.14,0.778,19.918,0
3,200,low_texture,77792.0,77792.0,77792.0,19.14,0.385,19.525,0
3,200,high_texture,314336.0,314336.0,314336.0,19.14,1.556,20.696,0
4,500,low_texture,194480.0,194480.0,194480.0,19.14,0.963,20.103,0
4,500,high_texture,785840.0,785840.0,785840.0,19.14,3.89,23.03,0
5,1000,low_texture,388960.0,388960.0,388960.0,19.14,1.925,21.065,0
5,1000,high_texture,1571680.0,1571680.0,1571680.0,19.14,7.78,26.92,0
6,2000,low_texture,777920.0,777920.0,777920.0,19.14,3.851,22.991,0
6,2000,high_texture,3143360.0,3143360.0,3143360.0,19.14,15.56,34.7,0
7,1000,low_texture,388960.0,388960.0,388960.0,19.14,1.925,21.065,0
7,1000,high_texture,1571680.0,1571680.0,1571680.0,19.14,7.78,26.92,0
8,500,low_texture,194480.0,194480.0,194480.0,19.14,0.963,20.103,0
8,500,high_texture,785840.0,785840.0,785840.0,19.14,3.89,23.03,0
9,200,low_texture,77792.0,77792.0,77792.0,19.14,0.385,19.525,0
9,200,high_texture,314336.0,314336.0,314336.0,19.14,1.556,20.696,0
10,100,low_texture,38896.0,38896.0,38896.0,19.14,0.193,19.333,0
10,100,high_texture,157168.0,157168.0,157168.0,19.14,0.778,19.918,0
11,50,low_texture,19448.0,19448.0,19448.0,19.14,0.096,19.236,0
11,50,high_texture,78584.0,78584.0,78584.0,19.14,0.389,19.529,0
12,10,low_texture,3889.6,3889.6,3889.6,19.14,0.019,19.159,0
12,10,high_texture,15716.8,15716.8,15716.8,19.14,0.078,19.218,0
