frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
1,0.1,low_threshold,clean,30270,908100,908100,0.1678,345.458,0.145,0.015,0.008,345.618
1,0.1,low_threshold,noisy,104773,3143190,3143190,0.1678,345.458,0.501,0.053,0.026,346.012
2,0.1,low_threshold,clean,27383,821490,821490,0.1678,345.458,0.131,0.014,0.007,345.602
2,0.1,low_threshold,noisy,102014,3060420,3060420,0.1678,345.458,0.488,0.051,0.026,345.997
3,0.1,low_threshold,clean,33574,1007220,1007220,0.1678,345.458,0.161,0.017,0.008,345.635
3,0.1,low_threshold,noisy,108510,3255300,3255300,0.1678,345.458,0.519,0.055,0.027,346.031
4,0.1,low_threshold,clean,34086,1022580,1022580,0.1678,345.458,0.163,0.017,0.009,345.638
4,0.1,low_threshold,noisy,108830,3264900,3264900,0.1678,345.458,0.521,0.055,0.027,346.033
5,0.1,low_threshold,clean,27229,816870,816870,0.1678,345.458,0.13,0.014,0.007,345.602
5,0.1,low_threshold,noisy,102170,3065100,3065100,0.1678,345.458,0.489,0.051,0.026,345.998
6,0.1,low_threshold,clean,28770,863100,863100,0.1678,345.458,0.138,0.014,0.007,345.61
6,0.1,low_threshold,noisy,103185,3095550,3095550,0.1678,345.458,0.494,0.052,0.026,346.003
7,0.1,low_threshold,clean,36831,1104930,1104930,0.1678,345.458,0.176,0.019,0.009,345.652
7,0.1,low_threshold,noisy,111817,3354510,3354510,0.1678,345.458,0.535,0.056,0.028,346.049
8,0.1,low_threshold,clean,27381,821430,821430,0.1678,345.458,0.131,0.014,0.007,345.602
8,0.1,low_threshold,noisy,102202,3066060,3066060,0.1678,345.458,0.489,0.051,0.026,345.998
9,0.1,low_threshold,clean,28389,851670,851670,0.1678,345.458,0.136,0.014,0.007,345.608
9,0.1,low_threshold,noisy,103192,3095760,3095760,0.1678,345.458,0.494,0.052,0.026,346.003
10,0.1,low_threshold,clean,29469,884070,884070,0.1678,345.458,0.141,0.015,0.007,345.613
