object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,dvs_power_mW,dvs_can_track,n_total_pixels,n_active_pixels,n_silent_pixels,active_fraction,cis_power_mW,adc_bits_used,feasible,max_frame_rate_hz,required_fps,dynamic_range_dB,fps_clipped_warning,power_ratio,power_savings_mW
25,10,low_texture,low_threshold,0.1,2789.6,5579.2,5579.2,19.14,0.028,19.168,1,307200,115,307085,0.00037,332.5936,8,1,178.91,4.0,51.42,0,17.351502504173624,313.4256
25,10,low_texture,med_threshold,0.2,2789.6,2789.6,2789.6,19.14,0.014,19.154,1,307200,115,307085,0.00037,332.5936,8,1,178.91,4.0,51.42,0,17.36418502662629,313.4396
25,10,low_texture,high_threshold,0.4,2789.6,1394.8,1394.8,19.14,0.007,19.147,1,307200,115,307085,0.00037,332.5936,8,1,178.91,4.0,51.42,0,17.370533242805664,313.4466
25,50,low_texture,low_threshold,0.1,13948.0,27896.0,27896.0,19.14,0.138,19.278,1,307200,176,307024,0.00057,332.5936,8,1,178.91,20.0,51.42,0,17.252495072102917,313.31559999999996
25,50,low_texture,med_threshold,0.2,13948.0,13948.0,13948.0,19.14,0.069,19.209,1,307200,176,307024,0.00057,332.5936,8,1,178.91,20.0,51.42,0,17.314467176844186,313.3846
25,50,low_texture,high_threshold,0.4,13948.0,6974.0,6974.0,19.14,0.035,19.175,1,307200,176,307024,0.00057,332.5936,8,1,178.91,20.0,51.42,0,17.345168187744456,313.41859999999997
25,100,low_texture,low_threshold,0.1,27896.0,55792.0,55792.0,19.14,0.276,19.416,1,307200,253,306947,0.00082,332.5936,8,1,178.91,40.0,51.42,0,17.12987227029254,313.1776
25,100,low_texture,med_threshold,0.2,27896.0,27896.0,27896.0,19.14,0.138,19.278,1,307200,253,306947,0.00082,332.5936,8,1,178.91,40.0,51.42,0,17.252495072102917,313.31559999999996
25,100,low_texture,high_threshold,0.4,27896.0,13948.0,13948.0,19.14,0.069,19.209,1,307200,253,306947,0.00082,332.5936,8,1,178.91,40.0,51.42,0,17.314467176844186,313.3846
25,200,low_texture,low_threshold,0.1,55792.0,111584.0,111584.0,19.14,0.552,19.692,1,307200,407,306793,0.00132,332.5936,8,1,178.91,80.0,51.42,0,16.88978265285395,312.9016
25,200,low_texture,med_threshold,0.2,55792.0,55792.0,55792.0,19.14,0.276,19.416,1,307200,407,306793,0.00132,332.5936,8,1,178.91,80.0,51.42,0,17.12987227029254,313.1776
25,200,low_texture,high_threshold,0.4,55792.0,27896.0,27896.0,19.14,0.138,19.278,1,307200,407,306793,0.00132,332.5936,8,1,178.91,80.0,51.42,0,17.252495072102917,313.31559999999996
