sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
AR0234 (ON Semi),CIS,fps=120,,120.0,False,1,250.0,0.9219,0.8952,0.9597,0.9371,0.964,7,44615,47342
AR0234 (ON Semi),CIS,fps=120,,120.0,False,2,250.0,0.9251,0.8963,0.9652,0.9379,0.9659,6,44644,47333
AR0234 (ON Semi),CIS,fps=120,,120.0,False,3,250.0,0.9241,0.8936,0.9663,0.9354,0.9655,5,44514,47160
AR0234 (ON Semi),CIS,fps=120,,120.0,False,4,250.0,0.9341,0.8965,0.9835,0.9382,0.9679,4,44679,47347
AR0234 (ON Semi),CIS,fps=120,,120.0,False,5,250.0,0.9406,0.8941,1.0,0.9361,0.967,0,44577,47196
AR0234 (ON Semi),CIS,fps=15,,15.0,False,1,40.0,0.6266,0.4413,0.9021,0.467,0.613,8,22233,23654
AR0234 (ON Semi),CIS,fps=15,,15.0,False,2,40.0,0.6169,0.442,0.8731,0.4677,0.6212,14,22273,23739
AR0234 (ON Semi),CIS,fps=15,,15.0,False,3,40.0,0.6503,0.4407,0.9729,0.4666,0.6353,2,22204,23619
AR0234 (ON Semi),CIS,fps=15,,15.0,False,4,40.0,0.6415,0.4422,0.9438,0.4679,0.6287,5,22287,23640
AR0234 (ON Semi),CIS,fps=15,,15.0,False,5,40.0,0.617,0.4404,0.8766,0.466,0.601,11,22199,23576
AR0234 (ON Semi),CIS,fps=30,,30.0,False,1,70.0,0.9219,0.8952,0.9597,0.9371,0.964,7,44615,47342
AR0234 (ON Semi),CIS,fps=30,,30.0,False,2,70.0,0.9251,0.8963,0.9652,0.9379,0.9659,6,44644,47333
AR0234 (ON Semi),CIS,fps=30,,30.0,False,3,70.0,0.9241,0.8936,0.9663,0.9354,0.9655,5,44514,47160
AR0234 (ON Semi),CIS,fps=30,,30.0,False,4,70.0,0.9341,0.8965,0.9835,0.9382,0.9679,4,44679,47347
AR0234 (ON Semi),CIS,fps=30,,30.0,False,5,70.0,0.9406,0.8941,1.0,0.9361,0.967,0,44577,47196
AR0234 (ON Semi),CIS,fps=5,,5.0,False,1,20.0,0.1434,0.1213,0.1765,0.1254,0.0949,397,6415,7906
