cis_sensor,dvs_sensor,bg_density,v_star,dominant
OV7251 (OmniVision),Lichtsteiner 2008,0.05,279.55419033897846,—
OV7251 (OmniVision),Lichtsteiner 2008,0.4,310.70673257036515,—
OV7251 (OmniVision),DAVIS346,0.05,126.71619095891279,—
OV7251 (OmniVision),DAVIS346,0.4,127.94997281131049,—
OV7251 (OmniVision),Samsung DVS-Gen3.1,0.05,126.47937647226219,—
OV7251 (OmniVision),Samsung DVS-Gen3.1,0.4,126.97765221255793,—
OV7251 (OmniVision),Prophesee IMX636,0.05,473.98908773001614,—
OV7251 (OmniVision),Prophesee IMX636,0.4,474.92097833830246,—
IMX327 (Sony),Lichtsteiner 2008,0.05,,DVS
IMX327 (Sony),Lichtsteiner 2008,0.4,,DVS
IMX327 (Sony),DAVIS346,0.05,,DVS
IMX327 (Sony),DAVIS346,0.4,,DVS
IMX327 (Sony),Samsung DVS-Gen3.1,0.05,,DVS
IMX327 (Sony),Samsung DVS-Gen3.1,0.4,,DVS
IMX327 (Sony),Prophesee IMX636,0.05,17.895490336435216,—
IMX327 (Sony),Prophesee IMX636,0.4,17.897898055978143,—
AR0234 (ON Semi),Lichtsteiner 2008,0.05,22.966059639049945,—
AR0234 (ON Semi),Lichtsteiner 2008,0.4,23.326357563499705,—
AR0234 (ON Semi),DAVIS346,0.05,,DVS
AR0234 (ON Semi),DAVIS346,0.4,,DVS
AR0234 (ON Semi),Samsung DVS-Gen3.1,0.05,,DVS
AR0234 (ON Semi),Samsung DVS-Gen3.1,0.4,,DVS
AR0234 (ON Semi),Prophesee IMX636,0.05,55.005525580185925,—
AR0234 (ON Semi),Prophesee IMX636,0.4,55.02280935183425,—
IMX462 (Sony),Lichtsteiner 2008,0.05,14.434515837195551,—
IMX462 (Sony),Lichtsteiner 2008,0.4,14.616195579301838,—
IMX462 (Sony),DAVIS346,0.05,,DVS
IMX462 (Sony),DAVIS346,0.4,,DVS
IMX462 (Sony),Samsung DVS-Gen3.1,0.05,,DVS
IMX462 (Sony),Samsung DVS-Gen3.1,0.4,,DVS
IMX462 (Sony),Prophesee IMX636,0.05,40.27173420588976,—
IMX462 (Sony),Prophesee IMX636,0.4,40.28197381671701,—
