object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_eff,event_rate_scaled,dvs_position_error_px,dvs_inter_event_time_s,dvs_missed_fraction,dvs_detection_completeness,dvs_tracking_quality,cis_actual_fps,cis_frame_time_s,cis_position_error_px,cis_motion_blur_px,cis_missed_fraction,cis_detection_completeness,cis_tracking_quality
25,10,low_texture,low_threshold,0.1,5579.2,5579.2,0.001792,0.000179237,0.0,0.909091,0.907464,4.0,0.25,3.75,1.25,0.0,0.952381,0.200501
25,10,low_texture,med_threshold,0.2,2789.6,2789.6,0.003585,0.000358474,0.0,0.909091,0.905844,4.0,0.25,3.75,1.25,0.0,0.952381,0.200501
25,10,low_texture,high_threshold,0.4,1394.8,1394.8,0.007169,0.000716949,0.0,0.909091,0.90262,4.0,0.25,3.75,1.25,0.0,0.952381,0.200501
25,50,low_texture,low_threshold,0.1,27896.0,27896.0,0.001792,3.5847e-05,0.0,0.909091,0.907464,20.0,0.05,3.75,1.25,0.0,0.952381,0.200501
25,50,low_texture,med_threshold,0.2,13948.0,13948.0,0.003585,7.1695e-05,0.0,0.909091,0.905844,20.0,0.05,3.75,1.25,0.0,0.952381,0.200501
25,50,low_texture,high_threshold,0.4,6974.0,6974.0,0.007169,0.00014339,0.0,0.909091,0.90262,20.0,0.05,3.75,1.25,0.0,0.952381,0.200501
25,100,low_texture,low_threshold,0.1,55792.0,55792.0,0.001792,1.7924e-05,0.0,0.909091,0.907464,40.0,0.025,3.75,1.25,0.0,0.952381,0.200501
25,100,low_texture,med_threshold,0.2,27896.0,27896.0,0.003585,3.5847e-05,0.0,0.909091,0.905844,40.0,0.025,3.75,1.25,0.0,0.952381,0.200501
25,100,low_texture,high_threshold,0.4,13948.0,13948.0,0.007169,7.1695e-05,0.0,0.909091,0.90262,40.0,0.025,3.75,1.25,0.0,0.952381,0.200501
25,200,low_texture,low_threshold,0.1,111584.0,111584.0,0.001792,8.962e-06,0.0,0.909091,0.907464,80.0,0.0125,3.75,1.25,0.0,0.952381,0.200501
25,200,low_texture,med_threshold,0.2,55792.0,55792.0,0.003585,1.7924e-05,0.0,0.909091,0.905844,80.0,0.0125,3.75,1.25,0.0,0.952381,0.200501
25,200,low_texture,high_threshold,0.4,27896.0,27896.0,0.007169,3.5847e-05,0.0,0.909091,0.90262,80.0,0.0125,3.75,1.25,0.0,0.952381,0.200501
25,500,low_texture,low_threshold,0.1,278960.0,278960.0,0.001792,3.585e-06,0.0,0.909091,0.907464,178.91,0.005589,4.1921,1.3974,0.10545,0.847197,0.163172
25,500,low_texture,med_threshold,0.2,139480.0,139480.0,0.003585,7.169e-06,0.0,0.909091,0.905844,178.91,0.005589,4.1921,1.3974,0.10545,0.847197,0.163172
25,500,low_texture,high_threshold,0.4,69740.0,69740.0,0.007169,1.4339e-05,0.0,0.909091,0.90262,178.91,0.005589,4.1921,1.3974,0.10545,0.847197,0.163172
25,1000,low_texture,low_threshold,0.1,557920.0,557920.0,0.001792,1.792e-06,0.0,0.909091,0.907464,178.91,0.005589,8.3841,2.7947,0.552725,0.402302,0.042871
25,1000,low_texture,med_threshold,0.2,278960.0,278960.0,0.003585,3.585e-06,0.0,0.909091,0.905844,178.91,0.005589,8.3841,2.7947,0.552725,0.402302,0.042871
25,1000,low_texture,high_threshold,0.4,139480.0,139480.0,0.007169,7.169e-06,0.0,0.909091,0.90262,178.91,0.005589,8.3841,2.7947,0.552725,0.402302,0.042871
25,2000,low_texture,low_threshold,0.1,1115840.0,1115840.0,0.001792,8.96e-07,0.0,0.909091,0.907464,178.91,0.005589,16.7682,5.5894,0.776363,0.182774,0.010287
25,2000,low_texture,med_threshold,0.2,557920.0,557920.0,0.003585,1.792e-06,0.0,0.909091,0.905844,178.91,0.005589,16.7682,5.5894,0.776363,0.182774,0.010287
25,2000,low_texture,high_threshold,0.4,278960.0,278960.0,0.007169,3.585e-06,0.0,0.909091,0.90262,178.91,0.005589,16.7682,5.5894,0.776363,0.182774,0.010287
50,10,low_texture,low_threshold,0.1,7779.2,7779.2,0.001285,0.000128548,0.0,0.909091,0.907924,2.0,0.5,7.5,2.5,0.0,0.952381,0.112045
50,10,low_texture,med_threshold,0.2,3889.6,3889.6,0.002571,0.000257096,0.0,0.909091,0.90676,2.0,0.5,7.5,2.5,0.0,0.952381,0.112045
50,10,low_texture,high_threshold,0.4,1944.8,1944.8,0.005142,0.000514192,0.0,0.909091,0.90444,2.0,0.5,7.5,2.5,0.0,0.952381,0.112045
50,50,low_texture,low_threshold,0.1,38896.0,38896.0,0.001285,2.571e-05,0.0,0.909091,0.907924,10.0,0.1,7.5,2.5,0.0,0.952381,0.112045
50,50,low_texture,med_threshold,0.2,19448.0,19448.0,0.002571,5.1419e-05,0.0,0.909091,0.90676,10.0,0.1,7.5,2.5,0.0,0.952381,0.112045
50,50,low_texture,high_threshold,0.4,9724.0,9724.0,0.005142,0.000102838,0.0,0.909091,0.90444,10.0,0.1,7.5,2.5,0.0,0.952381,0.112045
50,100,low_texture,low_threshold,0.1,77792.0,77792.0,0.001285,1.2855e-05,0.0,0.909091,0.907924,20.0,0.05,7.5,2.5,0.0,0.952381,0.112045
50,100,low_texture,med_threshold,0.2,38896.0,38896.0,0.002571,2.571e-05,0.0,0.909091,0.90676,20.0,0.05,7.5,2.5,0.0,0.952381,0.112045
50,100,low_texture,high_threshold,0.4,19448.0,19448.0,0.005142,5.1419e-05,0.0,0.909091,0.90444,20.0,0.05,7.5,2.5,0.0,0.952381,0.112045
50,200,low_texture,low_threshold,0.1,155584.0,155584.0,0.001285,6.427e-06,0.0,0.909091,0.907924,40.0,0.025,7.5,2.5,0.0,0.952381,0.112045
50,200,low_texture,med_threshold,0.2,77792.0,77792.0,0.002571,1.2855e-05,0.0,0.909091,0.90676,40.0,0.025,7.5,2.5,0.0,0.952381,0.112045
50,200,low_texture,high_threshold,0.4,38896.0,38896.0,0.005142,2.571e-05,0.0,0.909091,0.90444,40.0,0.025,7.5,2.5,0.0,0.952381,0.112045
50,500,low_texture,low_threshold,0.1,388960.0,388960.0,0.001285,2.571e-06,0.0,0.909091,0.907924,100.0,0.01,7.5,2.5,0.0,0.952381,0.112045
50,500,low_texture,med_threshold,0.2,194480.0,194480.0,0.002571,5.142e-06,0.0,0.909091,0.90676,100.0,0.01,7.5,2.5,0.0,0.952381,0.112045
50,500,low_texture,high_threshold,0.4,97240.0,97240.0,0.005142,1.0284e-05,0.0,0.909091,0.90444,100.0,0.01,7.5,2.5,0.0,0.952381,0.112045
50,1000,low_texture,low_threshold,0.1,777920.0,777920.0,0.001285,1.285e-06,0.0,0.909091,0.907924,178.91,0.005589,8.3841,2.7947,0.10545,0.847197,0.09028
50,1000,low_texture,med_threshold,0.2,388960.0,388960.0,0.002571,2.571e-06,0.0,0.909091,0.90676,178.91,0.005589,8.3841,2.7947,0.10545,0.847197,0.09028
50,1000,low_texture,high_threshold,0.4,194480.0,194480.0,0.005142,5.142e-06,0.0,0.909091,0.90444,178.91,0.005589,8.3841,2.7947,0.10545,0.847197,0.09028
50,2000,low_texture,low_threshold,0.1,1555840.0,1555840.0,0.001285,6.43e-07,0.0,0.909091,0.907924,178.91,0.005589,16.7682,5.5894,0.552725,0.402302,0.022642
50,2000,low_texture,med_threshold,0.2,777920.0,777920.0,0.002571,1.285e-06,0.0,0.909091,0.90676,178.91,0.005589,16.7682,5.5894,0.552725,0.402302,0.022642
50,2000,low_texture,high_threshold,0.4,388960.0,388960.0,0.005142,2.571e-06,0.0,0.909091,0.90444,178.91,0.005589,16.7682,5.5894,0.552725,0.402302,0.022642
100,10,low_texture,low_threshold,0.1,12179.2,12179.2,0.000821,8.2107e-05,0.0,0.909091,0.908345,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,10,low_texture,med_threshold,0.2,6089.6,6089.6,0.001642,0.000164214,0.0,0.909091,0.9076,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,10,low_texture,high_threshold,0.4,3044.8,3044.8,0.003284,0.000328429,0.0,0.909091,0.906115,1.0,1.0,15.0,5.0,0.0,0.952381,0.059524
100,50,low_texture,low_threshold,0.1,60896.0,60896.0,0.000821,1.6421e-05,0.0,0.909091,0.908345,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,50,low_texture,med_threshold,0.2,30448.0,30448.0,0.001642,3.2843e-05,0.0,0.909091,0.9076,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,50,low_texture,high_threshold,0.4,15224.0,15224.0,0.003284,6.5686e-05,0.0,0.909091,0.906115,5.0,0.2,15.0,5.0,0.0,0.952381,0.059524
100,100,low_texture,low_threshold,0.1,121792.0,121792.0,0.000821,8.211e-06,0.0,0.909091,0.908345,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,100,low_texture,med_threshold,0.2,60896.0,60896.0,0.001642,1.6421e-05,0.0,0.909091,0.9076,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,100,low_texture,high_threshold,0.4,30448.0,30448.0,0.003284,3.2843e-05,0.0,0.909091,0.906115,10.0,0.1,15.0,5.0,0.0,0.952381,0.059524
100,200,low_texture,low_threshold,0.1,243584.0,243584.0,0.000821,4.105e-06,0.0,0.909091,0.908345,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,200,low_texture,med_threshold,0.2,121792.0,121792.0,0.001642,8.211e-06,0.0,0.909091,0.9076,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,200,low_texture,high_threshold,0.4,60896.0,60896.0,0.003284,1.6421e-05,0.0,0.909091,0.906115,20.0,0.05,15.0,5.0,0.0,0.952381,0.059524
100,500,low_texture,low_threshold,0.1,608960.0,608960.0,0.000821,1.642e-06,0.0,0.909091,0.908345,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
